postal_code,location_name,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,visual_center_x,visual_center_y,changed_at,geo_changed_at,geo_version,dagi_id
1165,Koebenhavn K,12.56917103,55.67844888,12.57386988,55.68272463,12.57068192,55.68076308,2018-11-20T22:13:37.996Z,2018-11-20T22:13:37.996Z,5,191165
1166,Koebenhavn K,12.57245968,55.67880326,12.57392987,55.67936486,12.57281215,55.67899335,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191166
1167,Koebenhavn K,12.57120114,55.67885873,12.57180021,55.67925183,12.57155172,55.6791299,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191167
1168,Koebenhavn K,12.57156647,55.67952136,12.57308555,55.68030619,12.57235905,55.67990118,2018-05-15T21:14:07.617Z,2018-05-15T21:14:07.617Z,2,191168
1169,Koebenhavn K,12.57356584,55.6797369,12.57589278,55.68148899,12.57454621,55.680565,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191169
1170,Koebenhavn K,12.57411072,55.67989013,12.57506915,55.68039228,12.57446263,55.68008905,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191170
1171,Koebenhavn K,12.57121701,55.679163,12.57439725,55.68278079,12.57230959,55.68177555,2018-11-20T22:13:37.996Z,2018-11-20T22:13:37.996Z,4,191171
1172,Koebenhavn K,12.57140956,55.6799252,12.57548137,55.68155228,12.5736165,55.68095745,2018-05-15T21:14:07.617Z,2018-05-15T21:14:07.617Z,3,191172
1173,Koebenhavn K,12.57272831,55.68118211,12.57470998,55.68221771,12.57365135,55.68174413,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191173
1174,Koebenhavn K,12.57175751,55.68187388,12.57392151,55.68273894,12.5724811,55.68241134,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191174
1175,Koebenhavn K,12.57285768,55.68195007,12.57509815,55.68291031,12.57381402,55.6825404,2019-10-03T21:10:51.775Z,2019-10-03T21:10:51.775Z,1,191175
1200,Koebenhavn K,12.57904306,55.67771976,12.58103837,55.67882187,12.5798222,55.67820341,2018-04-30T15:23:13.528Z,2014-11-04T16:01:00.879Z,1,191200
1201,Koebenhavn K,12.57684452,55.67755223,12.57939953,55.678693,12.57787668,55.67813397,2018-07-10T21:09:46.035Z,2018-07-10T21:09:46.035Z,4,191201
